id,label,parsed_response1,confidence_response1,parsed_response2,confidence_response2,parsed_response3,confidence_response3,parsed_response4,confidence_response4,parsed_response5,confidence_response5,parsed_response6,confidence_response6,parsed_response7,confidence_response7,parsed_response8,confidence_response8,parsed_response9,confidence_response9,parsed_response10,confidence_response10,parsed_response11,confidence_response11,majority_vote,entropy
CAT_000,1,1,0.8,1,0.9,1,0.8,1,0.8,1,0.9,1,0.9,1,0.8,1,0.8,1,0.9,1,0.8,1,0.8,1,0.0
CAT_001,0,2,0.7,2,0.6,2,0.7,2,0.8,2,0.8,2,0.7,2,0.7,2,0.7,2,0.8,2,0.8,2,0.7,2,0.0
CAT_002,1,2,0.7,0,0.8,0,0.7,0,0.85,0,0.8,2,0.7,0,0.7,2,0.7,0,0.8,0,0.8,2,0.7,0,0.94566030460064
CAT_003,2,2,0.8,2,0.7,2,0.7,2,0.9,2,0.9,2,0.8,2,0.8,2,0.7,2,0.8,2,0.9,2,0.8,2,0.0
CAT_004,2,2,0.8,2,0.7,2,0.9,2,0.9,2,0.9,0,0.9,2,0.7,2,0.8,2,0.9,2,0.9,2,0.8,2,0.4394969869215133
CAT_005,2,2,0.7,2,0.7,2,0.7,2,0.8,2,0.9,2,0.7,2,0.8,2,0.7,2,0.8,2,0.8,2,0.7,2,0.0
CAT_006,2,2,0.7,2,0.7,2,0.7,2,0.7,2,0.8,2,0.7,2,0.7,2,0.6,2,0.7,2,0.8,2,0.7,2,0.0
CAT_007,0,2,0.9,2,0.7,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2,0.0
CAT_008,1,1,0.7,1,0.8,2,0.6,2,0.7,2,0.8,2,0.8,2,0.6,2,0.6,2,0.7,1,0.8,1,0.7,2,0.94566030460064
CAT_009,1,2,0.7,1,0.7,2,0.7,2,0.8,2,0.8,2,0.8,2,0.7,2,0.7,2,0.8,0,0.8,2,0.8,2,0.8658566174572236
CAT_010,1,2,0.7,1,0.8,2,0.6,2,0.7,2,0.8,1,0.8,2,0.7,2,0.7,2,0.7,1,0.8,2,0.7,2,0.8453509366224364
