id,label,parsed_response1,confidence_response1,parsed_response2,confidence_response2,parsed_response3,confidence_response3,parsed_response4,confidence_response4,parsed_response5,confidence_response5,parsed_response6,confidence_response6,parsed_response7,confidence_response7,parsed_response8,confidence_response8,parsed_response9,confidence_response9,parsed_response10,confidence_response10,parsed_response11,confidence_response11,majority_vote,entropy
ES_000,1,2,0.8,2,0.7,2,0.8,2,0.8,2,0.9,0,0.9,2,0.8,2,0.7,2,0.8,0,0.9,2,0.8,2.0,0.6840384356390417
ES_001,0,0,0.8,0,0.8,0,0.8,0,0.8,0,0.85,0,0.8,0,0.8,0,0.8,0,0.8,0,0.9,0,0.8,0.0,0.0
ES_002,1,0,0.8,0,0.9,0,0.8,0,0.9,0,0.8,0,0.9,0,0.8,2,0.7,0,0.8,0,0.8,2,0.8,0.0,0.6840384356390417
ES_003,1,2,0.6,0,0.8,2,0.7,2,0.8,2,0.8,2,0.7,2,0.7,2,0.7,2,0.8,0,0.8,2,0.7,2.0,0.6840384356390417
ES_004,0,2,0.7,0,0.8,2,0.7,2,0.8,0,0.8,2,0.8,2,0.7,2,0.7,2,0.8,0,0.8,2,0.8,2.0,0.8453509366224364
ES_005,0,0,0.8,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,1,0.9,0,0.9,0,0.9,0.0,0.4394969869215133
ES_006,1,2,0.7,0,0.8,2,0.7,2,0.8,2,0.9,2,0.7,2,0.7,2,0.6,2,0.8,0,0.8,2,0.7,2.0,0.6840384356390417
ES_007,2,2,0.8,2,0.7,2,0.8,2,0.8,2,0.9,0,0.9,2,0.9,2,0.8,2,0.8,2,0.9,2,0.9,2.0,0.4394969869215133
ES_008,0,2,0.7,2,0.7,2,0.6,2,0.7,2,0.8,2,0.7,2,0.7,2,0.6,2,0.7,2,0.8,2,0.7,2.0,0.0
ES_009,0,0,0.8,0,0.9,0,0.8,0,0.8,0,0.9,0,0.8,0,0.8,2,0.7,0,0.8,0,0.8,0,0.8,0.0,0.4394969869215133
ES_010,1,2,0.7,2,0.5,2,0.6,2,0.7,2,0.8,1,0.7,2,0.7,2,0.6,2,0.7,2,0.8,2,0.7,2.0,0.4394969869215133
ES_011,2,2,0.8,2,0.8,2,0.9,2,0.9,2,1.0,0,0.9,2,0.9,2,0.9,2,0.9,0,0.8,2,0.9,2.0,0.6840384356390417
ES_012,2,1,0.8,1,0.9,1,0.8,1,0.9,2,0.9,1,0.8,1,0.7,1,0.8,2,0.7,1,0.8,1,0.8,1.0,0.6840384356390417
ES_013,1,2,0.7,2,0.7,2,0.7,2,0.7,1,0.8,2,0.8,2,0.7,2,0.7,1,0.8,1,0.7,2,0.7,2.0,0.8453509366224364
ES_014,1,2,0.7,2,0.7,2,0.7,2,0.8,2,0.9,2,0.8,2,0.8,2,0.7,2,0.8,2,0.9,2,0.8,2.0,0.0
ES_015,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.85,0,0.8,0,0.9,0,0.9,0.0,0.0
ES_016,0,2,0.7,2,0.7,2,0.7,2,0.8,2,0.9,2,0.8,2,0.7,2,0.7,2,0.8,2,0.8,2,0.8,2.0,0.0
ES_017,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_018,1,1,0.7,1,0.8,1,0.8,2,0.7,1,0.8,1,0.8,1,0.7,2,0.7,1,0.8,1,0.7,1,0.7,1.0,0.6840384356390417
ES_019,1,2,0.6,0,0.8,2,0.7,0,0.8,0,0.8,1,0.8,2,0.6,2,0.7,1,0.9,0,0.8,1,0.8,0.0,1.5726236638951638
ES_020,2,2,0.8,2,0.8,2,0.8,2,0.9,2,0.9,0,0.9,2,0.9,2,0.8,2,0.8,0,0.9,2,0.9,2.0,0.6840384356390417
ES_021,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_022,1,1,0.9,1,0.9,1,0.95,1,0.95,1,0.9,1,0.9,1,0.9,1,0.9,1,1.0,1,0.9,1,0.9,1.0,0.0
ES_023,0,0,0.8,0,0.9,0,0.8,0,0.9,0,0.9,0,0.9,0,0.8,0,0.8,0,0.8,0,0.8,0,0.9,0.0,0.0
ES_024,0,2,0.7,2,0.7,2,0.7,0,0.8,2,0.9,0,0.9,2,0.8,2,0.7,0,0.9,0,0.8,0,0.9,2.0,0.9940302114769566
ES_025,0,2,0.7,2,0.7,2,0.7,2,0.8,2,0.9,2,0.8,2,0.8,2,0.7,2,0.8,2,0.9,2,0.7,2.0,0.0
ES_026,1,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.9,1,0.8,1,0.9,1.0,0.0
ES_027,0,2,0.7,2,0.7,2,0.7,2,0.7,2,0.9,2,0.7,2,0.7,2,0.6,2,0.7,2,0.8,2,0.7,2.0,0.0
ES_028,0,2,0.7,0,0.8,2,0.7,0,0.8,0,0.9,2,0.8,2,0.6,2,0.7,0,0.8,0,0.8,0,0.9,0.0,0.9940302114769566
ES_029,0,0,0.8,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_030,0,0,0.9,0,0.8,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_031,1,2,0.5,0,0.8,0,0.8,0,0.8,0,0.9,0,0.8,0,0.8,0,0.8,1,0.8,0,0.8,0,0.8,0.0,0.8658566174572236
ES_032,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_033,2,2,0.8,2,0.7,2,0.9,2,0.9,2,1.0,0,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2,0.9,2.0,0.4394969869215133
ES_034,2,2,0.7,2,0.7,2,0.7,2,0.8,2,0.9,2,0.7,2,0.7,2,0.7,2,0.8,0,0.8,2,0.7,2.0,0.4394969869215133
ES_035,0,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.8,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_036,2,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0,0.9,0.0,0.0
ES_037,0,2,0.6,0,0.8,2,0.6,2,0.7,2,0.8,2,0.7,2,0.6,2,0.6,2,0.7,0,0.8,0,0.8,2.0,0.8453509366224364
