id,text,label
CAT_000,"369 nits sense vosaltres @joseprull @jorditurull @quimforn Tortura a @jordialapreso superada amb matricula d’honor! Aquest #JudiciFARSA no du enlloc, ho saben, i estan nerviosos! #FakeJustice #JudiciAlesUrnes #JoAcuso https://t.co/CbHFX5Q3gr",1
CAT_001,RT @YlosBeatles: @VilaWeb Sens dubte aquesta és la millor... https://t.co/p49ddQ6TR4,0
CAT_002,"Espanya és el país més corrupte d'Europa, on es manipulen els currículums, les comptabilitats, la premsa, la justícia, no es respecten els resultats electorals, etc, etc. Però alguns independentistes creuen que si fem un referèndum pactat, els espanyols es portaran bé....",1
CAT_003,El Suprem passa a dimecres la declaració com a testimoni de Rajoy https://t.co/81p1T62KkF,2
CAT_004,El dia en 4 tuits: Detingut el líder de Vox a Lleida per haver abusat suposadament d'almenys dos homes discapacitats https://t.co/sy58jMBjgl,2
CAT_005,"Quim Franquesa: A la reunió hi havia Carles Puigdemont, Oriol Junqueras, Marta Rovira i un total d'una quinzena més de persones https://t.co/pZWO8GJuBE #JudiciTV3CatRàdio https://t.co/kHw8DcsKcU",2
CAT_006,"La política de la por : una arma eficaç al llarg de la història contra les llibertats...i ara? Què en pensen els experts en història contemporània Javier Rodrigo i Ramon Arnabat? ➡️Cicle de diàlegs #Unainfànciasotalesbombes, aquest dimecres, 19h, a l'Auditori d'El Born CCM. https://t.co/5ThvAJjhHR",2
CAT_007,🏛Continuem amb la sessió del ple del #Parlament amb la sessió de control 👉 Pot seguir-la en directe a través d'aquest enllaç https://t.co/1Cn1r6mhSA #Parlament https://t.co/7NzKtFLAuT,0
CAT_008,Molta força als companys andreuencs @ivanaltimira @virtutallerada #IvaniDavidAbsolució #VotarNoÉsCapDelicte #SantAndreu una gran abraçada solidària Ivan. Salut company ✊🏼 https://t.co/KbWtB3FEdp,1
CAT_009,"Carles Puigdemont des Waterloo: Estic disposat a rebre amb respecte i interès la líder de l’oposició I. Arrimadas. Té les portes de la Casa de la República obertes Però si el que intenta és un nou espectacle mediàtic com el d’Amer, això és una altra cosa https://t.co/7orfirzAEe",1
CAT_010,"Amb tot l’afecte del món. Avui, per carmeforcadell @ForcadellCarme @FreeForcadell Amb l’ajut de @rosamariaartal i @jcuixart #joacuso via @elnacionalcat https://t.co/Q4z2PQ4plM",1
CAT_011,“Al món rural encara se sol veure les dones com ajudants però ho estem canviant”. Emma Viñas @ramaderescat a #LaPlaçaDelsFuturs #SICOMNews @RadioMTerrassa d https://t.co/mYI9GF82uQ https://t.co/mOqLsmg5Ix,0
CAT_012,@AdaColau @ccoocatalunya Gràcies per què?. Compromís?. Drets?. Llibertats?. Serà la d'ells. Són cómplices de la inestabilitat laboral i la retallada de drets. Ells van aprovar la reforma laboral del govern. Gràcies per la traició..,1
CAT_013,Que en Subaru hagui fet aixo i tot el que hi ha darrere es la major trollejada que ha fet en Gosho SENSE DUBTE. I LA MILLOR #DetectiuConan3XL https://t.co/YsjHEEBEVs,2
CAT_014,Doncs sí: el PSOE encara ho pot fer pitjor que el PP. Increïble! [VÍDEO] La secretària d’estat Irene Lozano compara el referèndum de l’1-O amb una violació https://t.co/KVJp8hYGyq,1
CAT_015,"🔴 @meritxell_batet: El Sr. Moreno Bonilla, president andalús, intenta confrontar o dividir ciutadans per raó d'orígen o de l'ús d'una llengua. El que proposa és inconstitucional. Tots els que viuen a Catalunya són catalans amb independència del seu orígen. #ElsMatinsTV3 https://t.co/1oAxQnRYAq",0
CAT_016,RT @elpuntavui: EN DIRECTE: El ple vota la creació d’una comissió d’investigació sobre la monarquia #Parlament https://t.co/G8xvJd71CD,1
CAT_017,RT @salvadorcardus: Encara sota l’impacte de l’acte oficial de celebració del 11-S. Amb tota la determinació. Això també és avançar.,0
CAT_018,"@elnacionalcat “L’enginyosa acció” 🤦‍♂️ No es pot negar que les subvencions us les guanyeu a pols. Però deixant això de banda, fa por i peneta que justifiqueu i rigueu aquestes actituds sinistres. Cal començar a fer autocrítica, si voleu deixar de ser un panflet, és clar.",0
CAT_019,"@QuicoSalles @KRLS JAJAJAJAJAJA “Colonitzador” JAJAJAJAJAJA Baixa de Montserrat, va",0
CAT_020,No opinaré sobre el judici als polítics independentistes. No ho faré malgrat consideri greu el que van provocar al 2017. No ho faré malgrat empatitzi amb l’angoixa dels seus amics i familiars. Tinc por que amb el judici torni la polarització asfixiant de la tardor de 2017.,0
CAT_021,"@jcoscu @lolagarciagar @ed_peninsula @Ramon_Perello Lola, Coscu, és que ja no hauria de sorprendre: pocs mesos abans havien fundat l'ANC! I a finals de 2011 tenen lloc les reunions de CDC i els Pujol (ja acollonits per la investigació) per establir una estratègia indepe i canviar de bandera. https://t.co/jzYbo3ORXI",0
CAT_022,RT @JoeGartzia: @luiscarlos16m Has fet tard. Molts moteros ja no volem saber res de tu. Apa fatxa adeu https://t.co/VsBYlqTEE1,0
CAT_023,RT @FrancescMiroM: Som un partit feminista #masclismeMata @EbrePSC #FemAmpostaMillor #Miroapeudecarrer https://t.co/RfcVovc0hD,0
CAT_024,"@ramon_aymami @JonInarritu Una vergonya!!!! Tota aquesta gentussa era la izquierda progre . Ha desaparescut tota del mapa. La pela es la pela. Quina decepcio. Aixo va de democracia, ja no parlo de independencia",1
CAT_025,"📻 @JoseMariaCanoCs ""Necessitem tornar a la normalitat; el primer diàleg que cal obrir és entre catalans. Volem pau i tornar al seny, respecte i convivència. La situació a Catalunya és preocupant i les amenaces dels CDR a aturar Catalunya afecten milers de famílies""@ElmatiaRadio4",0
CAT_026,"Dos escriptors espanyols i un mexicà, guanyadors dels Premis Tiflos de l'ONCE https://t.co/lXyVegzN5Z",2
CAT_027,"@_otelbruixot @Kilauea22 @pepa_alternativ @adriaxj8 @AlfredBosch Jo també callo, quan Torra se'n va a Bruselas envoltat de consellers, com avui a costa del contribuent. No miris només el que t'interessa.",0
CAT_028,"@ARApolitica Quina comissio del ICAB? No serán els del grupet del Pina? Ayyy quina casualitat... vaja tontería de noticia,... com us esforceu en noticies novedoses d’investigacio ! Chapeau!",0
CAT_029,"Els mercats municipals som el tercer servei més ben valorat per la ciutadania! I tu, ja véns a comprar al mercat? https://t.co/hO6g6xki9D https://t.co/1OCZImm9kH",2
CAT_030,@pilarcarracelas @martaroqueta El Via cada dia està més alienat.,0
CAT_031,Dels creadors de les polítiques socials són prioritats menors arriba... els 2.200M€ per Catalunya dels pressupostos generals de l'Estat son política petita https://t.co/9cFHj5YXHo,0
CAT_032,@Marta_Sibina @KRLS @QuimTorraiPla Deixa el teu escó...traïdora. Quina vergonya.,0
CAT_033,"Comprar la idea q els diputats a Madrid forçaran algun dia Espanya a negociar l’autodeterminació és la victòria del processisme, q aconsegueix defugir la unilateralitat i la seva responsabilitat en implementar la independència. Per això no votaré, la solució no està a Madrid",1
CAT_034,"Nou cop a l'internet lliure a Europa: la llei del copyright , més a prop d'aprovar-se https://t.co/Kcu5u5s8an https://t.co/MZtjsEIbSx",2
CAT_035,"Bona Diada Nacional de Catalunya! Gaudiu d'una jornada reivindicativa, inclusiva i democràtica dels i les catalanes. Visca Catalunya, obrera, popular i solidària! Visca la solidaritat entre els pobles d’Espanya! https://t.co/VeBTceKcJL",0
CAT_036,@ElsBastards @vox_es @LauraBorras @Barcelo_neta @NoemiGaleraN @IsaCampo7 @deLaiaCosta @ariadnaoltra @MarquesAgnes @EstelSole @laura_rosel @Gemmajhb Estiu del 93 i Marie Antoniette.,0
CAT_037,"@XSalaimartin Així és com la recordem la majoria. Era tota una senyora i una magnífica persona. La podreu veure a l’exposició “el procés a punta de Bic” de retrats a bolígraf de presos, exiliats i represaliats. https://t.co/dDyaVNPB0Q",1
CAT_038,"@SergiViader @eudaldibars Penso que no..la massa dels votants dels comuns està en el cinturó industrial de BCN i t'asseguro que molts estem farts del procesismo, crec que l'hòstia serà gran.",0
CAT_039,"Som a #PrimàriesCatalunya per sumar. Molt! #PrimàriesLleida i ...Terrassa, l'Hospitalet, St. Just, Reus,Tàrrega, Manresa, Granollers, SantCugat, Mataró, Castelldefels, Gavà, Rubí,Tortosa, Sitges,Rosselló, Arenys, Sabadell, Alcoletge, Gelida, Palamós, Cambrils..... i molts més. https://t.co/WpSspB9ouI",1
CAT_040,RT @Crack19291: Perdoneu a tots els q m'heu seguit i jo a vosaltres encara no. Digueu-m'ho sisplau i us tornaré el follow. Merci,2
CAT_041,RT @BrunetLidia: @DavidGR1714 Estem immersos en un procés de criminalització de la dissidència per part dels partits polítics i gurus afins.,1
CAT_042,"RT @ANC_Bombers: Avui continuarem pendents del #JudiciFARSA , #JoAcuso Sí, però podem fer més: #consellperlarepublica https://t.co/GcEpW…",1
CAT_043,🔴 A #Terrassa el feixisme no pot quedar sense resposta. Ni la impunitat de la que gaudeixen. Un poble unit i actiu serà sempre el millor dic de contenció #NoPassaran https://t.co/aS0QkHS272,1
CAT_044,"@Mossos quan volgueu un augment de sou, ja sabeu què heu de corejar a les vostres manifestacions: PUIGDEMONT A PRISIÓN! PUIGDEMONT A PRISIÓN! PUIGDEMONT A PRISIÓN! com els de JUSAPOL avui. https://t.co/2W9c97DAlG",0
CAT_045,"Som gent pacífica, som el país de Pau Casals . Immens @jorditurull #judiciFarsa #joacuso",1
CAT_046,"Cent setanta-tres, tres-cents catorze, i tres-cents trenta- tres, i massa temps volent-te mostrar que som diferents. #garrotuit #LlibertatPresosPolíticsCatalans #LlibertatPresesPolítiquesCatalanes #Diada2018",1
CAT_047,Endesa no descarta que la xemeneia per on va caure un nen aquest dilluns al vespre estigués descargolada per un acte vandàlic https://t.co/pSlekXwICw,2
CAT_048,Espanya s'ha posicionat com un estat criminal a nivell internacional Christophe Marchand (advocat de l’equip de Puigdemont) #FAQSbacallàTV3 ▶ https://t.co/1O38HvkSE6 https://t.co/bEaftqt2KW,1
CAT_049,"Un dia diuen que la DUI es va publicar al DOGC. Un altre, que set cotxes van ser devastados. No són equivocacions: són mentides evidents en seu judicial. Com pot no tenir conseqüències? #joacuso",1
CAT_050,"⚠ #ÚltimaHora Junqueras no respondrà ni a la Fiscalia, ni a l'Advocacia de l'Estat ni a Vox, només a la defensa https://t.co/fhR29NVxSk https://t.co/uVSrt0TpdM",2
CAT_051,@jsccatalunya Entre la tirania franquista espaÑola i la #RepúblicaCatalana el @PSOE ha escollit la regressió i el reaccionarisme espaÑol. El meu condol per la rendició i submisió que varen signar el 78 #LlibertatPresosPoliticsiExiliats #ConsellPerLaRepública,1
CAT_052,Van den Eynde acusa Marchena i Vox de “teatralitzar” el judici per aparèixer com a “garantista” https://t.co/VQUykXhJAm,2
CAT_053,"Se'm remou l'estómac quan els veig allà asseguts, i també quan ens diuen obertament que tot era una gran mentida, les dues coses són repugnants. https://t.co/EcHT4ViClU",0
CAT_054,"Cada cop hi ha més indepes, caram. Menys en Dante, recordeu. https://t.co/0f3n51cJxM",0
CAT_055,"@mksjosoccdr @Jaum3li @InesArrimadas És el problema de posar chonis a la política. Els falta classe i sobretot, educació.",1
CAT_056,RT @diariARA: Llarena descarta reactivar l’euroordre contra Puigdemont pel seu viatge al Parlament europeu https://t.co/9PukK0FVH4,1
CAT_057,"Aquest @govern no pot demanar al poble que es rebeli i després aprovar els pressupostos espanyols, la desobediència civil ha d'anar acompanyada de desobediència política i aquí es veu clarament que no tenen el més mínim full de ruta ni coordinació entre partits. #NoATot",1
CAT_058,"@IncensedCarrot @xriusenoticies Pastanaga, no cargues 😘",0
